date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:18	1767/1767	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=2.6.6	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.mind7ad.js	(from http://shtheme.net/demosd/cruise/)
21:41:24	1046/1046	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/wp-util.min.js?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/wp-util.min5010.js	(from http://shtheme.net/demosd/cruise/)
21:41:24	16410/16410	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/underscore.min.js?ver=1.8.3	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/underscore.min4511.js	(from http://shtheme.net/demosd/cruise/)
21:41:24	4000/4000	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/core.mine899.js	(from http://shtheme.net/demosd/cruise/)
21:41:26	97184/97184	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/jqueryb8ff.js	(from http://shtheme.net/demosd/cruise/)
21:41:26	6908/6908	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/widget.min.js?ver=1.11.4	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/widget.mine899.js	(from http://shtheme.net/demosd/cruise/)
21:41:26	3148/3148	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/mouse.min.js?ver=1.11.4	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/mouse.mine899.js	(from http://shtheme.net/demosd/cruise/)
21:41:29	24899/24899	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/sortable.min.js?ver=1.11.4	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/sortable.mine899.js	(from http://shtheme.net/demosd/cruise/)
21:41:33	36508/36508	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/datepicker.min.js?ver=1.11.4	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/ui/datepicker.mine899.js	(from http://shtheme.net/demosd/cruise/)
21:41:33	895/895	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=4.11.2	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart2720.js	(from http://shtheme.net/demosd/cruise/)
21:41:34	23936/23936	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/includes/libraries/owl-carousel/owl.carousel.min.js?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/includes/libraries/owl-carousel/owl.carousel.min5010.js	(from http://shtheme.net/demosd/cruise/)
21:41:38	64404/64404	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/assets/js/select2.min.js?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/assets/js/select2.min5010.js	(from http://shtheme.net/demosd/cruise/)
21:41:38	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2012%20Jul%202019%2014:41:36%20GMT	http://shtheme.net/demosd/cruise/xmlrpc.php?rsd	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/xmlrpc.240db0.delayed	(from http://shtheme.net/demosd/cruise/)
21:41:42	2215/2215	---MC-	200	added ('OK')	application/json	date:Fri,%2012%20Jul%202019%2014:41:39%20GMT	http://shtheme.net/demosd/cruise/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fshtheme.net%2Fdemosd%2Fcruise%2F	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/indexab52.json	(from http://shtheme.net/demosd/cruise/)
21:41:44	2309/2309	---MC-	200	added ('OK')	text/xml	date:Fri,%2012%20Jul%202019%2014:41:42%20GMT	http://shtheme.net/demosd/cruise/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fshtheme.net%2Fdemosd%2Fcruise%2F&format=xml	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index9f13.php	(from http://shtheme.net/demosd/cruise/)
21:41:50	41819/41819	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/images/user.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/images/user.jpg	(from http://shtheme.net/demosd/cruise/)
21:41:56	168171/168171	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:41:47%20GMT	http://shtheme.net/demosd/cruise/?page_id=153	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index14cc.html	(from http://shtheme.net/demosd/cruise/)
21:41:56	132594/132594	---MC-	200	added ('OK')	application/json	date:Fri,%2012%20Jul%202019%2014:41:33%20GMT	http://shtheme.net/demosd/cruise/index.php?rest_route=/	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index52f0.json	(from http://shtheme.net/demosd/cruise/)
